xlsx_row_no,matched,source_kind,source_district,source_housing_name,source_housing_type,source_gender,source_supply,source_applicants,source_competition_ratio,actual_winning_rank,actual_winning_score,pred_win_rate_at_winning_cut,pred_reserve_rate_at_winning_cut,winning_cut_check_50,winning_cut_check_70,actual_reserve_rank,actual_reserve_score,pred_win_rate_at_reserve_cut,pred_reserve_rate_at_reserve_cut,reserve_cut_check_50,reserve_cut_check_70,source_address
33,Y,신규공급,강북구,미래하이츠,28B,,4,115,28.8,2순위,9,0.596834,0.948064,통과,미달,2순위,5,0.294182,0.58139,통과,미달,"서울특별시 강북구 수유로23길 31 (수유동 1-4, 미래하이츠)"
34,Y,신규공급,강북구,미래하이츠,38A,,3,157,52.3,1순위,6,0.660283,0.724944,통과,미달,1순위,3,0.361799,0.40639,미달,미달,"서울특별시 강북구 수유로23길 31 (수유동 1-4, 미래하이츠)"
35,Y,신규공급,강북구,미래하이츠,43A,,5,520,104.0,1순위,9,0.898576,0.912847,통과,통과,1순위,7,0.708401,0.748391,통과,통과,"서울특별시 강북구 수유로23길 31 (수유동 1-4, 미래하이츠)"
36,Y,신규공급,강북구,다드림12차,27B,,15,186,12.4,2순위,7,0.74265,0.771349,통과,통과,2순위,6,0.699818,0.746753,통과,통과,"서울특별시 강북구 인수봉로55길 33-22 (수유동 508-99 외 1필지, 다드림12차)"
37,Y,신규공급,강북구,다드림12차,35B,,1,15,15.0,2순위,8,0.601015,0.930481,통과,미달,2순위,5,0.316254,0.586936,통과,미달,"서울특별시 강북구 인수봉로55길 33-22 (수유동 508-99 외 1필지, 다드림12차)"
38,Y,재공급,관악구,STAY온-2,17B,,1,25,25.0,1순위,5,0.557733,0.590992,통과,미달,2순위,6,0.358615,0.745148,통과,통과,"서울특별시 관악구 남부순환로 1519 (신림동 507-22, STAY온-2)"
39,Y,재공급,관악구,STAY온-2,26B,,5,134,26.8,2순위,6,0.455732,0.742791,미달,미달,2순위,5,0.314588,0.577636,통과,미달,"서울특별시 관악구 남부순환로 1519 (신림동 507-22, STAY온-2)"
40,Y,재공급,관악구,신림파크빌,32A,,1,106,106.0,1순위,6,0.659783,0.723023,통과,미달,2순위,8,0.222979,0.518512,통과,미달,"서울특별시 관악구 남부순환로155길 30 (신림동 505-10, 신림파크빌)"
41,Y,재공급,관악구,하임,44C,,1,194,194.0,1순위,8,0.84721,0.885352,통과,통과,,,,,,,"서울특별시 관악구 난곡로30길 23 (신림동 624-34, 하임)"
42,Y,신규공급,관악구,스테이온III,26B,,19,1387,73.0,1순위,5,0.557291,0.592019,통과,미달,1순위,2,0.190013,0.245253,미달,미달,"서울특별시 관악구 남부순환로 1542 (신림동 1577-33, 스테이온III)"
43,Y,신규공급,관악구,T&K신림 II,27B,,12,463,38.6,1순위,2,0.194761,0.249506,미달,미달,2순위,8,0.494522,0.929763,통과,통과,"서울특별시 관악구 시흥대로160길 39 (신림동 1663-21, T&K신림II)"
44,Y,신규공급,관악구,T&K신림 II,39A,,3,494,164.7,1순위,8,0.847843,0.885725,통과,통과,1순위,6,0.661248,0.722924,통과,통과,"서울특별시 관악구 시흥대로160길 39 (신림동 1663-21, T&K신림II)"
45,Y,신규공급,관악구,T&K신림 II,44A,,2,738,369.0,1순위,9,0.896957,0.912597,통과,통과,1순위,8,0.847888,0.884946,통과,통과,"서울특별시 관악구 시흥대로160길 39 (신림동 1663-21, T&K신림II)"
